sales_deposit_batch_id,business_event_date,branch_code,payment_method,txn_count,net_total_thb,settlement_bank_txn_id,bank_amount_thb,reconciliation_status
BKK-CTW|2024-01-05|mobile_wallet,2024-01-05,BKK-CTW,mobile_wallet,2,174200.00,BT-202401-307246380098,174200.00,matched
BKK-CTW|2024-01-06|cash,2024-01-06,BKK-CTW,cash,4,53600.00,BT-202401-902514546443,53600.00,matched
BKK-CTW|2024-01-06|credit_card,2024-01-06,BKK-CTW,credit_card,4,91500.00,BT-202401-991942761333,91500.00,matched
BKK-CTW|2024-01-06|debit_card,2024-01-06,BKK-CTW,debit_card,2,19800.00,BT-202401-282894485260,19800.00,matched
BKK-CTW|2024-01-06|mobile_wallet,2024-01-06,BKK-CTW,mobile_wallet,4,138400.00,BT-202401-386141910458,138400.00,matched
BKK-CTW|2024-01-07|cash,2024-01-07,BKK-CTW,cash,5,351500.00,BT-202401-85067924562,351500.00,matched
BKK-CTW|2024-01-07|credit_card,2024-01-07,BKK-CTW,credit_card,2,27800.00,BT-202401-884794947016,27800.00,matched
BKK-CTW|2024-01-07|debit_card,2024-01-07,BKK-CTW,debit_card,3,104600.00,BT-202401-183610557186,104600.00,matched
BKK-CTW|2024-01-07|mobile_wallet,2024-01-07,BKK-CTW,mobile_wallet,5,172700.00,BT-202401-405095900223,172700.00,matched
BKK-CTW|2024-01-08|cash,2024-01-08,BKK-CTW,cash,7,402400.00,BT-202401-606251819937,402400.00,matched
BKK-CTW|2024-01-08|credit_card,2024-01-08,BKK-CTW,credit_card,4,361600.00,BT-202401-1042711028254,361600.00,matched
BKK-CTW|2024-01-08|mobile_wallet,2024-01-08,BKK-CTW,mobile_wallet,2,23900.00,BT-202401-196994640759,23900.00,matched
BKK-CTW|2024-01-09|cash,2024-01-09,BKK-CTW,cash,4,208000.00,BT-202401-1035647572895,208000.00,matched
BKK-CTW|2024-01-09|credit_card,2024-01-09,BKK-CTW,credit_card,5,157200.00,BT-202401-562799326045,157200.00,matched
BKK-CTW|2024-01-09|debit_card,2024-01-09,BKK-CTW,debit_card,3,124500.00,BT-202401-702705514762,124500.00,matched
BKK-CTW|2024-01-09|mobile_wallet,2024-01-09,BKK-CTW,mobile_wallet,2,169900.00,BT-202401-221554554844,169900.00,matched
BKK-CTW|2024-01-10|cash,2024-01-10,BKK-CTW,cash,7,196300.00,BT-202401-1035175551113,196300.00,matched
BKK-CTW|2024-01-10|credit_card,2024-01-10,BKK-CTW,credit_card,4,56600.00,BT-202401-1049598531114,56600.00,matched
BKK-CTW|2024-01-10|debit_card,2024-01-10,BKK-CTW,debit_card,3,68200.00,BT-202401-915138841442,68200.00,matched
BKK-CTW|2024-01-11|cash,2024-01-11,BKK-CTW,cash,6,189900.00,BT-202401-637560928031,189900.00,matched
BKK-CTW|2024-01-11|credit_card,2024-01-11,BKK-CTW,credit_card,6,224000.00,BT-202401-63559004362,224000.00,matched
BKK-CTW|2024-01-11|debit_card,2024-01-11,BKK-CTW,debit_card,2,122700.00,BT-202401-651553319940,122700.00,matched
BKK-CTW|2024-01-11|mobile_wallet,2024-01-11,BKK-CTW,mobile_wallet,6,129700.00,BT-202401-362501886566,129700.00,matched
BKK-CTW|2024-01-12|cash,2024-01-12,BKK-CTW,cash,3,51200.00,BT-202401-318175087841,51200.00,matched
BKK-CTW|2024-01-12|credit_card,2024-01-12,BKK-CTW,credit_card,5,171400.00,BT-202401-673053304254,171400.00,matched
BKK-CTW|2024-01-12|debit_card,2024-01-12,BKK-CTW,debit_card,3,66700.00,BT-202401-693991923656,66700.00,matched
BKK-CTW|2024-01-12|mobile_wallet,2024-01-12,BKK-CTW,mobile_wallet,3,53700.00,BT-202401-687538799812,53700.00,matched
BKK-CTW|2024-01-13|cash,2024-01-13,BKK-CTW,cash,9,198400.00,BT-202401-16761370644,198400.00,matched
BKK-CTW|2024-01-13|credit_card,2024-01-13,BKK-CTW,credit_card,2,99700.00,BT-202401-167942463647,99700.00,matched
BKK-CTW|2024-01-13|debit_card,2024-01-13,BKK-CTW,debit_card,4,140000.00,BT-202401-704535624241,140000.00,matched
BKK-CTW|2024-01-13|mobile_wallet,2024-01-13,BKK-CTW,mobile_wallet,5,253000.00,BT-202401-947124582700,253000.00,matched
BKK-CTW|2024-01-14|cash,2024-01-14,BKK-CTW,cash,7,288000.00,BT-202401-673262855863,288000.00,matched
BKK-CTW|2024-01-14|credit_card,2024-01-14,BKK-CTW,credit_card,7,270000.00,BT-202401-773885902234,270000.00,matched
BKK-CTW|2024-01-14|debit_card,2024-01-14,BKK-CTW,debit_card,5,256400.00,BT-202401-412851637584,256400.00,matched
BKK-CTW|2024-01-14|mobile_wallet,2024-01-14,BKK-CTW,mobile_wallet,4,141400.00,BT-202401-725710152828,141400.00,matched
BKK-CTW|2024-01-15|cash,2024-01-15,BKK-CTW,cash,8,129000.00,BT-202401-228492165441,129000.00,matched
BKK-CTW|2024-01-15|credit_card,2024-01-15,BKK-CTW,credit_card,7,276900.00,BT-202401-888485141736,276900.00,matched
BKK-CTW|2024-01-15|debit_card,2024-01-15,BKK-CTW,debit_card,1,18900.00,BT-202401-1038173606197,18900.00,matched
BKK-CTW|2024-01-15|mobile_wallet,2024-01-15,BKK-CTW,mobile_wallet,1,6900.00,BT-202401-779519220809,6900.00,matched
BKK-CTW|2024-01-16|cash,2024-01-16,BKK-CTW,cash,6,141400.00,BT-202401-442191344497,141400.00,matched
BKK-CTW|2024-01-16|credit_card,2024-01-16,BKK-CTW,credit_card,6,214700.00,BT-202401-757627580431,214700.00,matched
BKK-CTW|2024-01-16|debit_card,2024-01-16,BKK-CTW,debit_card,3,73500.00,BT-202401-1060496945064,73500.00,matched
BKK-CTW|2024-01-16|mobile_wallet,2024-01-16,BKK-CTW,mobile_wallet,1,8500.00,BT-202401-988463970942,8500.00,matched
BKK-CTW|2024-01-17|cash,2024-01-17,BKK-CTW,cash,8,304300.00,BT-202401-654549438422,304300.00,matched
BKK-CTW|2024-01-17|credit_card,2024-01-17,BKK-CTW,credit_card,2,41700.00,BT-202401-522769408147,41700.00,matched
BKK-CTW|2024-01-17|debit_card,2024-01-17,BKK-CTW,debit_card,3,99500.00,BT-202401-163469796070,99500.00,matched
BKK-CTW|2024-01-17|mobile_wallet,2024-01-17,BKK-CTW,mobile_wallet,5,144100.00,BT-202401-926411832087,144100.00,matched
BKK-CTW|2024-01-18|cash,2024-01-18,BKK-CTW,cash,7,245600.00,BT-202401-971413013004,245600.00,matched
BKK-CTW|2024-01-18|credit_card,2024-01-18,BKK-CTW,credit_card,1,24900.00,BT-202401-130399522302,24900.00,matched
BKK-CTW|2024-01-18|mobile_wallet,2024-01-18,BKK-CTW,mobile_wallet,5,155200.00,BT-202401-62264396120,155200.00,matched
BKK-CTW|2024-01-19|cash,2024-01-19,BKK-CTW,cash,9,358400.00,BT-202401-943351019837,358400.00,matched
BKK-CTW|2024-01-19|credit_card,2024-01-19,BKK-CTW,credit_card,5,143100.00,BT-202401-577296724320,143100.00,matched
BKK-CTW|2024-01-19|mobile_wallet,2024-01-19,BKK-CTW,mobile_wallet,2,24800.00,BT-202401-310850075366,24800.00,matched
BKK-CTW|2024-01-20|cash,2024-01-20,BKK-CTW,cash,4,72000.00,BT-202401-469132609006,72000.00,matched
BKK-CTW|2024-01-20|credit_card,2024-01-20,BKK-CTW,credit_card,4,141200.00,BT-202401-201689086274,141200.00,matched
BKK-CTW|2024-01-20|debit_card,2024-01-20,BKK-CTW,debit_card,4,132200.00,BT-202401-1012883448255,132200.00,matched
BKK-CTW|2024-01-20|mobile_wallet,2024-01-20,BKK-CTW,mobile_wallet,3,186200.00,BT-202401-100349444736,186200.00,matched
BKK-CTW|2024-01-21|cash,2024-01-21,BKK-CTW,cash,4,43000.00,BT-202401-135604736891,43000.00,matched
BKK-CTW|2024-01-21|credit_card,2024-01-21,BKK-CTW,credit_card,2,69700.00,BT-202401-832040097707,69700.00,matched
BKK-CTW|2024-01-21|debit_card,2024-01-21,BKK-CTW,debit_card,3,85700.00,BT-202401-787535663911,85700.00,matched
BKK-CTW|2024-01-21|mobile_wallet,2024-01-21,BKK-CTW,mobile_wallet,4,225600.00,BT-202401-620472212408,225600.00,matched
BKK-CTW|2024-01-22|cash,2024-01-22,BKK-CTW,cash,8,345500.00,BT-202401-901564453396,345500.00,matched
BKK-CTW|2024-01-22|credit_card,2024-01-22,BKK-CTW,credit_card,5,96000.00,BT-202401-942240716529,96000.00,matched
BKK-CTW|2024-01-22|debit_card,2024-01-22,BKK-CTW,debit_card,1,112900.00,BT-202401-253114149434,112900.00,matched
BKK-CTW|2024-01-22|mobile_wallet,2024-01-22,BKK-CTW,mobile_wallet,1,12900.00,BT-202401-960848291429,12900.00,matched
BKK-CTW|2024-01-23|cash,2024-01-23,BKK-CTW,cash,5,143000.00,BT-202401-201106560195,143000.00,matched
BKK-CTW|2024-01-23|credit_card,2024-01-23,BKK-CTW,credit_card,5,141400.00,BT-202401-1024711800552,141400.00,matched
BKK-CTW|2024-01-23|debit_card,2024-01-23,BKK-CTW,debit_card,4,105400.00,BT-202401-344314986146,105400.00,matched
BKK-CTW|2024-01-23|mobile_wallet,2024-01-23,BKK-CTW,mobile_wallet,5,432500.00,BT-202401-382270476942,432500.00,matched
BKK-CTW|2024-01-24|cash,2024-01-24,BKK-CTW,cash,2,93200.00,BT-202401-1044903563203,93200.00,matched
BKK-CTW|2024-01-24|credit_card,2024-01-24,BKK-CTW,credit_card,4,253800.00,BT-202401-788047009973,253800.00,matched
BKK-CTW|2024-01-24|debit_card,2024-01-24,BKK-CTW,debit_card,3,141800.00,BT-202401-663520709738,141800.00,matched
BKK-CTW|2024-01-24|mobile_wallet,2024-01-24,BKK-CTW,mobile_wallet,1,29800.00,BT-202401-137230072688,29800.00,matched
BKK-CTW|2024-01-25|cash,2024-01-25,BKK-CTW,cash,8,417100.00,BT-202401-229511571013,417100.00,matched
BKK-CTW|2024-01-25|credit_card,2024-01-25,BKK-CTW,credit_card,4,67600.00,BT-202401-1086903206298,67600.00,matched
BKK-CTW|2024-01-25|debit_card,2024-01-25,BKK-CTW,debit_card,1,17000.00,BT-202401-335373394036,17000.00,matched
BKK-CTW|2024-01-25|mobile_wallet,2024-01-25,BKK-CTW,mobile_wallet,1,108000.00,BT-202401-868129550705,108000.00,matched
BKK-CTW|2024-01-26|cash,2024-01-26,BKK-CTW,cash,6,293200.00,BT-202401-264846127206,293200.00,matched
BKK-CTW|2024-01-26|credit_card,2024-01-26,BKK-CTW,credit_card,4,104200.00,BT-202401-796503579925,104200.00,matched
BKK-CTW|2024-01-26|debit_card,2024-01-26,BKK-CTW,debit_card,4,62200.00,BT-202401-162708761833,62200.00,matched
BKK-CTW|2024-01-26|mobile_wallet,2024-01-26,BKK-CTW,mobile_wallet,2,34800.00,BT-202401-397205876646,34800.00,matched
BKK-CTW|2024-01-27|cash,2024-01-27,BKK-CTW,cash,1,24900.00,BT-202401-7341718797,24900.00,matched
BKK-CTW|2024-01-27|credit_card,2024-01-27,BKK-CTW,credit_card,4,71400.00,BT-202401-1042656215772,71400.00,matched
BKK-CTW|2024-01-27|mobile_wallet,2024-01-27,BKK-CTW,mobile_wallet,3,183800.00,BT-202401-978910295490,183800.00,matched
BKK-CTW|2024-01-28|cash,2024-01-28,BKK-CTW,cash,8,300300.00,BT-202401-785765092213,300300.00,matched
BKK-CTW|2024-01-28|credit_card,2024-01-28,BKK-CTW,credit_card,8,277300.00,BT-202401-783769605225,277300.00,matched
BKK-CTW|2024-01-28|debit_card,2024-01-28,BKK-CTW,debit_card,2,68800.00,BT-202401-988336848514,68800.00,matched
BKK-CTW|2024-01-28|mobile_wallet,2024-01-28,BKK-CTW,mobile_wallet,6,205400.00,BT-202401-944535718307,205400.00,matched
BKK-CTW|2024-01-29|cash,2024-01-29,BKK-CTW,cash,2,92600.00,BT-202401-1042256952905,92600.00,matched
BKK-CTW|2024-01-29|credit_card,2024-01-29,BKK-CTW,credit_card,3,218700.00,BT-202401-745095099076,218700.00,matched
BKK-CTW|2024-01-29|debit_card,2024-01-29,BKK-CTW,debit_card,1,18900.00,BT-202401-808235018355,18900.00,matched
BKK-CTW|2024-01-29|mobile_wallet,2024-01-29,BKK-CTW,mobile_wallet,3,110700.00,BT-202401-1062112606935,110700.00,matched
BKK-CTW|2024-01-30|cash,2024-01-30,BKK-CTW,cash,8,213600.00,BT-202401-510781103352,213600.00,matched
BKK-CTW|2024-01-30|credit_card,2024-01-30,BKK-CTW,credit_card,5,210900.00,BT-202401-1065401593885,210900.00,matched
BKK-CTW|2024-01-30|debit_card,2024-01-30,BKK-CTW,debit_card,2,80500.00,BT-202401-854944947092,80500.00,matched
BKK-CTW|2024-01-30|mobile_wallet,2024-01-30,BKK-CTW,mobile_wallet,1,57300.00,BT-202401-447176287133,57300.00,matched
BKK-CTW|2024-01-31|cash,2024-01-31,BKK-CTW,cash,6,232900.00,BT-202401-439967570477,232900.00,matched
BKK-CTW|2024-01-31|credit_card,2024-01-31,BKK-CTW,credit_card,4,211100.00,BT-202401-539574138626,211100.00,matched
BKK-CTW|2024-01-31|debit_card,2024-01-31,BKK-CTW,debit_card,1,29900.00,BT-202401-207414493449,29900.00,matched
BKK-CTW|2024-01-31|mobile_wallet,2024-01-31,BKK-CTW,mobile_wallet,6,274400.00,BT-202401-1070765072793,274400.00,matched
BKK-CTW|2024-02-01|cash,2024-02-01,BKK-CTW,cash,1,48800.00,BT-202402-855362202309,48800.00,matched
BKK-CTW|2024-02-01|credit_card,2024-02-01,BKK-CTW,credit_card,6,125300.00,BT-202402-9523832244,125300.00,matched
BKK-CTW|2024-02-01|debit_card,2024-02-01,BKK-CTW,debit_card,2,84200.00,BT-202402-440792912678,84200.00,matched
BKK-CTW|2024-02-01|mobile_wallet,2024-02-01,BKK-CTW,mobile_wallet,3,52600.00,BT-202402-1085745243134,52600.00,matched
BKK-CTW|2024-02-02|cash,2024-02-02,BKK-CTW,cash,3,122900.00,BT-202402-661499377528,122900.00,matched
BKK-CTW|2024-02-02|credit_card,2024-02-02,BKK-CTW,credit_card,8,312300.00,BT-202402-661780428721,312300.00,matched
BKK-CTW|2024-02-02|mobile_wallet,2024-02-02,BKK-CTW,mobile_wallet,8,335500.00,BT-202402-523141594586,335500.00,matched
BKK-CTW|2024-02-03|cash,2024-02-03,BKK-CTW,cash,5,82800.00,BT-202402-335299415995,82800.00,matched
BKK-CTW|2024-02-03|credit_card,2024-02-03,BKK-CTW,credit_card,3,146100.00,BT-202402-502658833469,146100.00,matched
BKK-CTW|2024-02-03|debit_card,2024-02-03,BKK-CTW,debit_card,3,132000.00,BT-202402-290055233347,132000.00,matched
BKK-CTW|2024-02-03|mobile_wallet,2024-02-03,BKK-CTW,mobile_wallet,1,12900.00,BT-202402-389892874641,12900.00,matched
BKK-CTW|2024-02-04|cash,2024-02-04,BKK-CTW,cash,3,69300.00,BT-202402-774370229834,69300.00,matched
BKK-CTW|2024-02-04|credit_card,2024-02-04,BKK-CTW,credit_card,5,118400.00,BT-202402-620370197259,118400.00,matched
BKK-CTW|2024-02-04|debit_card,2024-02-04,BKK-CTW,debit_card,4,199000.00,BT-202402-509763559045,199000.00,matched
BKK-CTW|2024-02-04|mobile_wallet,2024-02-04,BKK-CTW,mobile_wallet,2,68800.00,BT-202402-41053157249,68800.00,matched
BKK-CTW|2024-02-05|cash,2024-02-05,BKK-CTW,cash,5,252600.00,BT-202402-368728273794,252600.00,matched
BKK-CTW|2024-02-05|credit_card,2024-02-05,BKK-CTW,credit_card,5,344400.00,BT-202402-585092076694,344400.00,matched
BKK-CTW|2024-02-05|debit_card,2024-02-05,BKK-CTW,debit_card,5,194900.00,BT-202402-896626235645,194900.00,matched
BKK-CTW|2024-02-05|mobile_wallet,2024-02-05,BKK-CTW,mobile_wallet,1,6900.00,BT-202402-453855775889,6900.00,matched
BKK-CTW|2024-02-06|cash,2024-02-06,BKK-CTW,cash,5,67700.00,BT-202402-652451561480,67700.00,matched
BKK-CTW|2024-02-06|credit_card,2024-02-06,BKK-CTW,credit_card,6,212000.00,BT-202402-416488429139,212000.00,matched
BKK-CTW|2024-02-06|debit_card,2024-02-06,BKK-CTW,debit_card,2,62800.00,BT-202402-723160975029,62800.00,matched
BKK-CTW|2024-02-06|mobile_wallet,2024-02-06,BKK-CTW,mobile_wallet,2,15400.00,BT-202402-907150534499,15400.00,matched
BKK-CTW|2024-02-07|cash,2024-02-07,BKK-CTW,cash,2,137600.00,BT-202402-168006105522,137600.00,matched
BKK-CTW|2024-02-07|credit_card,2024-02-07,BKK-CTW,credit_card,6,243000.00,BT-202402-886596575907,243000.00,matched
BKK-CTW|2024-02-07|debit_card,2024-02-07,BKK-CTW,debit_card,1,18900.00,BT-202402-550546078509,18900.00,matched
BKK-CTW|2024-02-07|mobile_wallet,2024-02-07,BKK-CTW,mobile_wallet,4,206100.00,BT-202402-745794993162,206100.00,matched
BKK-CTW|2024-02-08|cash,2024-02-08,BKK-CTW,cash,4,68600.00,BT-202402-922273099557,68600.00,matched
BKK-CTW|2024-02-08|credit_card,2024-02-08,BKK-CTW,credit_card,5,141200.00,BT-202402-451466206754,141200.00,matched
BKK-CTW|2024-02-08|debit_card,2024-02-08,BKK-CTW,debit_card,2,71300.00,BT-202402-1039785291604,71300.00,matched
BKK-CTW|2024-02-08|mobile_wallet,2024-02-08,BKK-CTW,mobile_wallet,3,235100.00,BT-202402-829109434563,235100.00,matched
BKK-CTW|2024-02-09|cash,2024-02-09,BKK-CTW,cash,7,357500.00,BT-202402-52600751849,357500.00,matched
BKK-CTW|2024-02-09|credit_card,2024-02-09,BKK-CTW,credit_card,5,106500.00,BT-202402-763528112368,106500.00,matched
BKK-CTW|2024-02-09|debit_card,2024-02-09,BKK-CTW,debit_card,4,121400.00,BT-202402-918483599983,121400.00,matched
BKK-CTW|2024-02-09|mobile_wallet,2024-02-09,BKK-CTW,mobile_wallet,7,119900.00,BT-202402-598360816074,119900.00,matched
BKK-CTW|2024-02-10|cash,2024-02-10,BKK-CTW,cash,6,471000.00,BT-202402-664326602136,471000.00,matched
BKK-CTW|2024-02-10|credit_card,2024-02-10,BKK-CTW,credit_card,4,107700.00,BT-202402-736884802825,107700.00,matched
BKK-CTW|2024-02-10|debit_card,2024-02-10,BKK-CTW,debit_card,3,37200.00,BT-202402-733751177298,37200.00,matched
BKK-CTW|2024-02-10|mobile_wallet,2024-02-10,BKK-CTW,mobile_wallet,2,42800.00,BT-202402-1032139363268,42800.00,matched
BKK-CTW|2024-02-11|cash,2024-02-11,BKK-CTW,cash,11,361100.00,BT-202402-501076959469,361100.00,matched
BKK-CTW|2024-02-11|credit_card,2024-02-11,BKK-CTW,credit_card,2,82600.00,BT-202402-765691356795,82600.00,matched
BKK-CTW|2024-02-11|debit_card,2024-02-11,BKK-CTW,debit_card,2,63300.00,BT-202402-513771646712,63300.00,matched
BKK-CTW|2024-02-11|mobile_wallet,2024-02-11,BKK-CTW,mobile_wallet,2,92600.00,BT-202402-485899559698,92600.00,matched
BKK-CTW|2024-02-12|cash,2024-02-12,BKK-CTW,cash,6,169400.00,BT-202402-664688628338,169400.00,matched
BKK-CTW|2024-02-12|credit_card,2024-02-12,BKK-CTW,credit_card,8,329500.00,BT-202402-87462466443,329500.00,matched
BKK-CTW|2024-02-12|debit_card,2024-02-12,BKK-CTW,debit_card,3,63300.00,BT-202402-325910894055,63300.00,matched
BKK-CTW|2024-02-12|mobile_wallet,2024-02-12,BKK-CTW,mobile_wallet,4,103500.00,BT-202402-630136760830,103500.00,matched
BKK-CTW|2024-02-13|cash,2024-02-13,BKK-CTW,cash,7,339500.00,BT-202402-198190967631,339500.00,matched
BKK-CTW|2024-02-13|credit_card,2024-02-13,BKK-CTW,credit_card,2,206000.00,BT-202402-1046156850996,206000.00,matched
BKK-CTW|2024-02-13|mobile_wallet,2024-02-13,BKK-CTW,mobile_wallet,3,160100.00,BT-202402-1029735699114,160100.00,matched
BKK-CTW|2024-02-14|cash,2024-02-14,BKK-CTW,cash,5,89600.00,BT-202402-235893177102,89600.00,matched
BKK-CTW|2024-02-14|credit_card,2024-02-14,BKK-CTW,credit_card,3,50700.00,BT-202402-465470495698,50700.00,matched
BKK-CTW|2024-02-14|debit_card,2024-02-14,BKK-CTW,debit_card,2,81700.00,BT-202402-717389482497,81700.00,matched
BKK-CTW|2024-02-14|mobile_wallet,2024-02-14,BKK-CTW,mobile_wallet,2,43700.00,BT-202402-114983745837,43700.00,matched
BKK-CTW|2024-02-15|cash,2024-02-15,BKK-CTW,cash,4,64200.00,BT-202402-695989506449,64200.00,matched
BKK-CTW|2024-02-15|credit_card,2024-02-15,BKK-CTW,credit_card,9,481200.00,BT-202402-126895818027,481200.00,matched
BKK-CTW|2024-02-15|debit_card,2024-02-15,BKK-CTW,debit_card,4,136200.00,BT-202402-106697176840,136200.00,matched
BKK-CTW|2024-02-15|mobile_wallet,2024-02-15,BKK-CTW,mobile_wallet,3,120000.00,BT-202402-945727004080,120000.00,matched
BKK-CTW|2024-02-16|cash,2024-02-16,BKK-CTW,cash,4,116000.00,BT-202402-399021491797,116000.00,matched
BKK-CTW|2024-02-16|credit_card,2024-02-16,BKK-CTW,credit_card,4,179300.00,BT-202402-269345579728,179300.00,matched
BKK-CTW|2024-02-17|cash,2024-02-17,BKK-CTW,cash,2,56500.00,BT-202402-796013814789,56500.00,matched
BKK-CTW|2024-02-17|credit_card,2024-02-17,BKK-CTW,credit_card,5,152600.00,BT-202402-1057760908919,152600.00,matched
BKK-CTW|2024-02-17|debit_card,2024-02-17,BKK-CTW,debit_card,3,248000.00,BT-202402-2206480357,248000.00,matched
BKK-CTW|2024-02-17|mobile_wallet,2024-02-17,BKK-CTW,mobile_wallet,5,291800.00,BT-202402-403588962102,291800.00,matched
BKK-CTW|2024-02-18|cash,2024-02-18,BKK-CTW,cash,4,169800.00,BT-202402-819895396184,169800.00,matched
BKK-CTW|2024-02-18|credit_card,2024-02-18,BKK-CTW,credit_card,1,29900.00,BT-202402-734873054523,29900.00,matched
BKK-CTW|2024-02-18|debit_card,2024-02-18,BKK-CTW,debit_card,3,191300.00,BT-202402-524116402394,191300.00,matched
BKK-CTW|2024-02-18|mobile_wallet,2024-02-18,BKK-CTW,mobile_wallet,1,18900.00,BT-202402-828660100548,18900.00,matched
BKK-CTW|2024-02-19|cash,2024-02-19,BKK-CTW,cash,5,210600.00,BT-202402-478857000322,210600.00,matched
BKK-CTW|2024-02-19|credit_card,2024-02-19,BKK-CTW,credit_card,4,348500.00,BT-202402-1044558610574,348500.00,matched
BKK-CTW|2024-02-19|debit_card,2024-02-19,BKK-CTW,debit_card,1,29900.00,BT-202402-981329964452,29900.00,matched
BKK-CTW|2024-02-19|mobile_wallet,2024-02-19,BKK-CTW,mobile_wallet,1,138900.00,BT-202402-608217124958,138900.00,matched
BKK-CTW|2024-02-20|cash,2024-02-20,BKK-CTW,cash,6,177200.00,BT-202402-706617206158,177200.00,matched
BKK-CTW|2024-02-20|credit_card,2024-02-20,BKK-CTW,credit_card,7,386300.00,BT-202402-153886419,386300.00,matched
BKK-CTW|2024-02-20|debit_card,2024-02-20,BKK-CTW,debit_card,4,230300.00,BT-202402-635590229559,230300.00,matched
BKK-CTW|2024-02-20|mobile_wallet,2024-02-20,BKK-CTW,mobile_wallet,2,47700.00,BT-202402-947723283634,47700.00,matched
BKK-CTW|2024-02-21|cash,2024-02-21,BKK-CTW,cash,10,299200.00,BT-202402-150792542579,299200.00,matched
BKK-CTW|2024-02-21|credit_card,2024-02-21,BKK-CTW,credit_card,7,203900.00,BT-202402-514202680053,203900.00,matched
BKK-CTW|2024-02-21|debit_card,2024-02-21,BKK-CTW,debit_card,2,64300.00,BT-202402-201738765821,64300.00,matched
BKK-CTW|2024-02-21|mobile_wallet,2024-02-21,BKK-CTW,mobile_wallet,2,35700.00,BT-202402-198169006338,35700.00,matched
BKK-CTW|2024-02-22|cash,2024-02-22,BKK-CTW,cash,5,94900.00,BT-202402-470366997570,94900.00,matched
BKK-CTW|2024-02-22|credit_card,2024-02-22,BKK-CTW,credit_card,4,38100.00,BT-202402-736873587221,38100.00,matched
BKK-CTW|2024-02-22|debit_card,2024-02-22,BKK-CTW,debit_card,2,94300.00,BT-202402-330775902609,94300.00,matched
BKK-CTW|2024-02-22|mobile_wallet,2024-02-22,BKK-CTW,mobile_wallet,5,206300.00,BT-202402-826702756257,206300.00,matched
BKK-CTW|2024-02-23|cash,2024-02-23,BKK-CTW,cash,7,312200.00,BT-202402-900046591125,312200.00,matched
BKK-CTW|2024-02-23|credit_card,2024-02-23,BKK-CTW,credit_card,3,58100.00,BT-202402-420328662994,58100.00,matched
BKK-CTW|2024-02-23|debit_card,2024-02-23,BKK-CTW,debit_card,1,42800.00,BT-202402-786141694728,42800.00,matched
BKK-CTW|2024-02-23|mobile_wallet,2024-02-23,BKK-CTW,mobile_wallet,2,160800.00,BT-202402-978943983619,160800.00,matched
BKK-CTW|2024-02-24|cash,2024-02-24,BKK-CTW,cash,8,355700.00,BT-202402-699350318929,355700.00,matched
BKK-CTW|2024-02-24|credit_card,2024-02-24,BKK-CTW,credit_card,3,128800.00,BT-202402-684647005166,128800.00,matched
